project_id,Project,PMA,PEO,Contractor,Phase,Type,Date,LRE,OriginalCBB
1,Project1,PMA9,PEO2,AK,R&D,Development,8/30/2012,2318190000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,7/30/2012,2316397000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,6/30/2012,2316397000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,5/30/2012,2316397000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,4/30/2012,2316397000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,3/30/2012,2316397000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,3/1/2012,2316397000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,1/30/2012,2316397000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,12/30/2011,2316189000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,11/30/2011,2316189000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,10/30/2011,2316189000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,9/30/2011,2316214000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,8/30/2011,2315798000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,7/30/2011,2284105000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,6/30/2011,2284105000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,5/30/2011,2294940000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,4/30/2011,2293975000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,3/30/2011,2291675000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,3/2/2011,2291646000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,1/30/2011,2289996000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,12/30/2010,2289996000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,11/30/2010,2289996000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,10/30/2010,2289776000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,9/30/2010,2289191000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,8/30/2010,2227063000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,7/30/2010,2226206000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,6/30/2010,2225586000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,5/30/2010,2225944000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,4/30/2010,2234849000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,3/30/2010,2230969000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,3/2/2010,2230245000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,1/30/2010,2229486000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,12/30/2009,2176055000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,11/30/2009,2168973000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,10/30/2009,2155135000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,9/30/2009,2155103000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,8/30/2009,2154410000,1729651000
1,Project1,PMA9,PEO2,AK,R&D,Development,7/30/2009,2154025000,1729651000
